name,phone,car_brand,car_model,car_age_years,km_driven,last_service_months,issue_text,service_category,priority_level,estimated_hours
Kimberly Huffman,490-915-6543,Hyundai,Creta,8,19264,29,vibration while accelerating. Again throughout would religious deep office dark.,General Check,High,2.3
Mary Wagner,+1-932-634-0128x8669,Toyota,Camry,2,35647,8,strange smell from cabin. Each face sound eye growth order give.,Engine,Low,3.6
Jennifer Thomas,279.475.1805x52086,Kia,Sonet,14,46398,26,squealing noise from belt. Wear sport part hand hold.,Engine,Medium,5.3
Susan Santos,659-514-4245x455,Kia,Sonet,8,60307,26,squealing noise from belt,Brakes,Medium,5.2
Brandon Olson,+1-459-470-5417x85822,Mahindra,Bolero,7,29023,13,car not starting intermittently. Crime as tough gun pay.,Electrical,High,1.4
Raymond Baker,838.917.2308,Kia,Seltos,12,54860,27,engine oil leak. Body sure long top.,Oil Change,Medium,2.0
Roy Weaver,001-877-694-9947,Hyundai,i20,9,45501,26,tyre puncture frequently. Sing skill large development certain.,Engine,Medium,5.7
Laura Wright,295.511.1385x9772,Hyundai,i20,4,1000,9,strange smell from cabin,Engine,Low,4.9
Geoffrey Ross Jr.,(382)402-2787x5264,Honda,Civic,2,49280,13,squealing noise from belt,Brakes,Low,2.6
Tiffany Johnson,303.734.4754x83100,BMW,3-Series,11,67797,10,vibration while accelerating. Both despite point act know.,General Check,High,1.4
Andrew Bradley,001-965-203-3273x4942,BMW,5-Series,13,7858,18,aircon not cooling. Place force beautiful line attorney.,General Check,Medium,0.9
Robert Boyd,722-992-3515x099,Kia,Sonet,8,46877,24,tyre puncture frequently,Tire,Low,1.3
Kenneth Cruz,001-775-496-8627x94016,Honda,Civic,10,34008,4,battery dies quickly. Little all month ask.,General Check,High,2.0
Brenda Jones,+1-546-230-3429x5990,BMW,3-Series,13,44788,23,tyre puncture frequently,General Check,Medium,2.5
Cory Duncan,(849)615-5030x47341,Honda,City,8,36253,35,car not starting intermittently. Pull throw itself character skill five like.,AC,High,5.0
Travis Evans,7835998232,Maruti,Swift,10,28323,16,strange smell from cabin. Enter might region well.,General Check,Low,1.7
Vincent Cox,+1-761-609-6046x0310,Hyundai,i20,6,65612,34,aircon not cooling,AC,Medium,4.5
Kirsten Reed,5677843442,Mahindra,Thar,5,43882,22,car not starting intermittently. Sing be peace late away listen.,AC,High,4.3
Robin Brown,696.219.9901,Honda,City,11,51016,1,engine oil leak,Oil Change,Medium,1.7
Dr. Jennifer Anderson,669-657-1391x57035,Toyota,Camry,9,11426,31,battery dies quickly. Image enter exactly some number painting.,Engine,High,4.3
Kevin Riggs,4476057983,Hyundai,i20,4,87027,29,battery dies quickly. Back police throw wide language.,Electrical,High,2.2
Steven Wise,(403)576-7620x891,Hyundai,i20,1,33457,30,squealing noise from belt,Brakes,Medium,2.1
John Anderson,001-542-492-2762x44203,Hyundai,Creta,14,75680,26,strange smell from cabin. Maintain above throw expect red worry.,General Check,Medium,1.4
Jack Ellis,001-542-743-1978x8447,BMW,5-Series,7,50339,26,vibration while accelerating. Business science town number himself suffer cover.,General Check,High,1.7
Kathy Allen,001-904-706-0398x4344,Maruti,Swift,14,55182,31,strange smell from cabin,Engine,Medium,3.6
Kimberly Brooks,+1-374-418-9666x9744,Maruti,Baleno,6,40438,25,tyre puncture frequently. Put life rise big knowledge large.,Tire,Medium,1.3
Leslie Buchanan,912-992-7264x1870,BMW,5-Series,10,61568,7,squealing noise from belt. Raise success discuss chair record himself join.,Engine,Low,6.5
Selena Jackson,238.738.3194,Kia,Seltos,12,66662,25,squealing noise from belt,Engine,Medium,7.6
Patricia Pittman,857-539-6490x6949,Toyota,Corolla,4,68202,18,squealing noise from belt. Land left yes price event various.,Electrical,Low,2.1
Antonio Brown,+1-847-517-6639x86632,BMW,3-Series,1,29274,13,strange smell from cabin,Tire,Low,1.0
Charles Diaz,615.365.6306x39286,Maruti,Baleno,9,93172,16,aircon not cooling,General Check,Low,1.4
George Glover,503-884-9568x578,BMW,3-Series,12,77445,34,strange smell from cabin. Yet upon full remain guy line.,General Check,Medium,1.6
Pamela Johnson,871.264.7520x52682,Mahindra,Thar,15,32946,33,tyre puncture frequently. Because serve throw.,Engine,Medium,2.4
Ryan Rodriguez,(959)363-5942x7629,Honda,Civic,15,1000,18,squealing noise from belt,General Check,Medium,0.5
Andrew Hudson,7565742539,Toyota,Camry,2,30236,13,engine oil leak,Oil Change,Low,1.5
Jasmine Walker,001-460-884-5876x3191,Kia,Seltos,7,53874,30,strange smell from cabin,Brakes,Medium,1.8
Jeffrey Reyes,875-530-9270x6274,Maruti,Baleno,6,37843,32,brakes making noise. Each rise doctor plant what its.,Brakes,Medium,3.3
Michelle Jefferson,(509)706-2741,Maruti,Baleno,6,49089,36,car not starting intermittently,Electrical,High,2.2
Jeff Jackson,(409)991-1856x0123,Toyota,Corolla,15,79976,0,battery dies quickly,General Check,High,2.8
Kelly Robinson,732-853-8832x1413,Honda,Civic,8,83156,12,tyre puncture frequently,Tire,Low,1.2
Tina Martinez,854.577.8879,Hyundai,i20,5,46336,33,battery dies quickly,Electrical,High,2.2
Pamela Walters,517.623.9629,Toyota,Camry,2,17845,8,battery dies quickly. There woman popular improve issue.,Electrical,High,3.0
Michael Li,698-294-3071x3068,BMW,3-Series,6,24566,3,engine oil leak. Agency sometimes civil item final control.,Oil Change,Low,2.0
Melissa Johnson,+1-298-394-6342x5959,Kia,Seltos,2,7849,18,strange smell from cabin. Process daughter government other miss western month.,Electrical,Low,3.8
Destiny Jones,260-824-0777x99302,Kia,Seltos,10,88942,6,engine oil leak,Oil Change,Low,2.1
Caleb Myers,712.834.0826,Toyota,Corolla,9,73394,6,tyre puncture frequently. Too resource collection indicate.,General Check,Low,2.1
Carlos French,773-389-7947x831,Honda,City,10,60611,20,engine oil leak,Oil Change,Low,2.3
Erik Mitchell,6312293928,Maruti,Swift,3,60259,34,battery dies quickly. Mr remain there.,Electrical,High,2.2
Sharon Wood,001-484-691-2124x4823,Mahindra,Bolero,15,46206,0,aircon not cooling,General Check,Medium,2.3
Stephen Jordan,518.873.1363x960,Honda,Civic,2,18403,9,squealing noise from belt. Policy woman nor alone upon mean detail.,AC,Low,3.9
Stephanie Weber,+1-244-855-7555,Mahindra,Bolero,3,37815,19,battery dies quickly. Defense whole their garden she stay talk.,Electrical,High,3.3
Jennifer Clark,(631)891-2214x495,Mahindra,Thar,5,42465,15,aircon not cooling. Last about attorney support.,AC,Low,5.5
Laura Alexander,+1-695-437-5702x383,BMW,5-Series,4,58809,0,engine oil leak,Oil Change,Low,1.9
Roger Knight,001-585-277-1284x426,Kia,Sonet,0,3633,31,battery dies quickly. Woman may appear red pay reduce rather.,Electrical,High,2.2
Kimberly Franklin,001-447-501-5177x8360,Hyundai,Creta,7,76265,12,strange smell from cabin. Those age because no whom.,Electrical,Low,3.6
Charles Hansen,+1-501-471-7182x551,Hyundai,Creta,12,46358,29,brakes making noise,Engine,Medium,6.5
Carolyn Johnson,001-705-344-0460x41537,Honda,City,1,65897,18,battery dies quickly. Popular question of theory miss.,Electrical,High,2.8
James Johnson,480.954.8498x76006,Hyundai,Creta,14,1942,24,engine oil leak,Oil Change,Medium,0.5
James Gutierrez,4127965812,BMW,5-Series,3,33340,30,tyre puncture frequently. Wish everyone trouble serious record assume executive.,Tire,Medium,1.1
Alicia Ellis,001-918-987-3696x266,Mahindra,Bolero,1,58207,1,battery dies quickly. Produce foreign wait modern coach.,Electrical,High,2.0
Cynthia Blair,001-706-347-3984x959,Mahindra,Bolero,9,35820,18,aircon not cooling,General Check,Low,2.4
Kathleen Hess,752-491-7639x379,BMW,5-Series,3,2815,2,car not starting intermittently. Information recent manage media yard.,Brakes,High,3.8
Christopher Conrad,982.659.5690x644,Maruti,Swift,13,24916,26,brakes making noise,Engine,Medium,5.4
Michael Vasquez,(576)523-0098,Maruti,Swift,5,57694,30,squealing noise from belt. House mission environmental Republican subject test.,Brakes,Medium,4.0
Sean Hunt,001-314-719-9373x8568,BMW,5-Series,3,73721,10,brakes making noise. Probably sister catch might majority near.,Brakes,Low,1.7
Jacqueline Smith,(273)842-4009,Mahindra,Bolero,14,33966,25,strange smell from cabin. Exactly before imagine wrong.,Engine,Medium,5.3
Stephanie Gates,286.844.7768x21293,Hyundai,Creta,3,5570,16,strange smell from cabin,General Check,Low,0.8
Heather Gray,(361)719-8946x3644,Honda,Civic,12,59483,11,squealing noise from belt. Discover weight dog war garden reality finish.,Engine,Medium,6.7
Gloria Lee,499.405.0228x81354,BMW,5-Series,6,6210,19,battery dies quickly. Another cell only quickly.,Electrical,High,2.9
Garrett Bonilla,+1-877-913-5933,Hyundai,Creta,1,76022,11,battery dies quickly. Suddenly move sea car develop major culture.,Electrical,High,2.5
Brandon Arnold,001-848-994-9941x131,BMW,3-Series,14,45360,29,brakes making noise. Travel often suffer whether memory prepare how.,Engine,Medium,7.4
Frank Farley,4377004259,Mahindra,Bolero,9,22032,5,strange smell from cabin,Engine,Low,5.9
Jennifer Adams,6767425179,Hyundai,i20,13,31370,5,strange smell from cabin. Recently kind organization knowledge brother.,General Check,Medium,0.9
Richard Whitehead,+1-323-415-4600,Honda,Civic,7,20307,31,engine oil leak,Oil Change,Medium,0.5
Rachel Smith,+1-638-819-8240x700,Kia,Seltos,7,33197,15,brakes making noise. Human minute general check line listen.,Brakes,Low,4.5
Amy Bennett,580-265-3588x3359,Mahindra,Bolero,4,53982,15,battery dies quickly,Electrical,High,3.3
David Anderson,624-662-3211x0479,Kia,Seltos,10,56375,29,brakes making noise. Hot get by particular body various everything.,Engine,Medium,5.4
Cory Elliott,001-511-545-2337x1975,Hyundai,i20,7,56168,14,strange smell from cabin. State fly physical sing difficult.,General Check,Low,1.6
Anthony Ayala,658-283-4645x249,Honda,City,1,59648,29,aircon not cooling,AC,Medium,3.2
Jason Bell,(539)283-1142x332,Honda,City,3,62403,20,squealing noise from belt,Brakes,Low,2.9
Gary Mcdaniel,654.644.3838x857,Toyota,Camry,1,57515,17,squealing noise from belt,Oil Change,Low,1.6
Matthew Mendez,(463)918-6430,Toyota,Camry,13,50300,20,engine oil leak,Oil Change,Medium,1.9
Christina Williams,001-344-817-7074x5443,Mahindra,Thar,10,41454,5,engine oil leak. Success after work wait without mother religious.,Oil Change,Low,1.6
Louis Vasquez,3023408004,Hyundai,i20,4,39876,3,aircon not cooling,AC,Low,3.5
Peggy Rodriguez,+1-516-278-6740x520,BMW,3-Series,1,14249,27,squealing noise from belt,AC,Medium,3.0
Corey Harris,+1-379-546-5028x343,Maruti,Swift,12,1000,27,vibration while accelerating. Something actually continue thing talk nearly.,General Check,High,1.5
Angelica Andersen,2939514253,Toyota,Camry,12,1693,31,car not starting intermittently. White art assume mouth.,Engine,High,6.8
Mark Cole,758-448-4092,Maruti,Swift,4,48311,23,aircon not cooling,AC,Low,5.8
Robin Orr,001-976-568-8483x45177,Hyundai,Creta,9,68386,36,aircon not cooling. Visit economic kid size effort learn space.,General Check,Medium,2.3
Sandra Atkinson,(603)794-9889x4327,BMW,5-Series,5,52843,27,battery dies quickly. Simple leave movie worry here base.,Electrical,High,2.3
Brittney Allen DVM,001-933-383-9286x7043,Maruti,Swift,6,45036,18,strange smell from cabin,General Check,Low,1.5
Joseph Conway,(734)773-3539x5724,Hyundai,Creta,14,29134,5,engine oil leak. Any thus enjoy occur strategy produce.,Oil Change,Medium,0.9
Mary Ford,2496903495,Honda,Civic,1,11348,13,battery dies quickly. Down life issue happy television game upon.,Electrical,High,1.9
Richard Jordan,+1-495-536-8022,Kia,Seltos,9,57314,0,brakes making noise,General Check,Low,2.4
Olivia Gonzalez,756.744.6068x31360,Kia,Seltos,0,1000,8,strange smell from cabin. For magazine speak right focus opportunity.,Oil Change,Low,1.8
Brittany Parker,249-604-6137,Kia,Sonet,4,49062,18,brakes making noise,Brakes,Low,5.0
Mitchell Ochoa,(526)336-8839,Kia,Seltos,4,59238,20,car not starting intermittently. Suddenly over we meet parent.,Tire,High,0.7
Travis Pierce,(235)231-5881,Hyundai,i20,10,47360,1,car not starting intermittently. Poor story sister.,General Check,High,1.7
Steven Rice,+1-620-226-5171x2415,BMW,5-Series,12,37933,8,tyre puncture frequently,General Check,Medium,2.0
James Moore,001-685-902-7624,Toyota,Camry,6,27288,13,squealing noise from belt. Federal it morning business movement cell foreign.,Engine,Low,8.1
Brandon Kelley,710-341-6466,Kia,Sonet,5,34842,31,aircon not cooling,AC,Medium,4.8
James Carey,440-318-4527x1458,Maruti,Swift,8,67354,18,car not starting intermittently,AC,High,2.7
Christopher Wilson,620-454-9505,Mahindra,Thar,11,13717,12,car not starting intermittently. Trouble certainly marriage hot cell four worry data.,Engine,High,4.3
Paula Davis,001-772-467-3746,Kia,Sonet,12,9084,15,squealing noise from belt. Tonight a strong think approach cold eye.,General Check,Medium,2.2
Katherine Johnson,(845)731-1729x9639,Mahindra,Thar,13,51589,29,car not starting intermittently,Engine,High,9.2
Julie Burton,(527)915-7466,Mahindra,Thar,15,74411,11,brakes making noise. Everyone ago education research fact anyone.,General Check,Medium,1.5
Stacey Lee,4994533950,BMW,5-Series,9,30373,35,engine oil leak. Capital but bill century key old arrive.,Oil Change,Medium,1.7
Danny Phillips,(932)689-6385x528,Toyota,Camry,6,10978,8,squealing noise from belt. During best edge far ago need.,Oil Change,Low,1.1
Heather Townsend,001-408-650-1498x80666,Kia,Seltos,4,56000,33,brakes making noise,Brakes,Medium,4.9
Alexis Castro,+1-919-801-0694,Mahindra,Bolero,1,1000,8,aircon not cooling,AC,Low,3.4
Alison Griffin,(404)316-7657,Hyundai,i20,0,14505,14,tyre puncture frequently,Tire,Low,1.2
Kellie Oliver,298-536-2247x817,Mahindra,Bolero,8,60824,3,car not starting intermittently. Later office safe benefit ten identify pattern.,Electrical,High,2.0
Christine Bishop,001-922-352-4476,Maruti,Baleno,3,41850,2,aircon not cooling,AC,Low,4.7
Brandon Lowery,851.311.3651,Toyota,Camry,2,39578,28,battery dies quickly,Electrical,High,2.8
Hannah White,+1-404-648-8549x1876,Maruti,Baleno,0,35371,30,strange smell from cabin. Section beat occur remember.,Tire,Medium,0.9
Clayton Lopez,317.915.9010,BMW,5-Series,1,68961,10,battery dies quickly. Another really fire.,Electrical,High,3.2
Natalie Mccormick,7882925806,BMW,3-Series,2,24317,33,engine oil leak. Opportunity beyond give find series.,Oil Change,Medium,2.2
Matthew Walker,499-520-7746x152,Mahindra,Thar,5,33867,1,tyre puncture frequently,Tire,Low,1.3
Laurie Morales,685-899-6263,Maruti,Baleno,8,54970,13,aircon not cooling. Where little book.,AC,Low,2.6
Donna Keith,557.882.4524,Hyundai,i20,3,62728,0,vibration while accelerating. Dark item serve recently recent past the.,Engine,High,7.4
Wendy Carr,001-932-346-6825,Maruti,Swift,11,48926,10,brakes making noise,Engine,Medium,9.0
James Allen,(969)698-8854x089,BMW,5-Series,13,52687,35,aircon not cooling,General Check,Medium,2.5
Heather Callahan,(960)722-9779,BMW,5-Series,15,42664,26,battery dies quickly,General Check,High,1.8
Cassandra Ware,482.289.5897,Honda,Civic,2,34186,11,strange smell from cabin,Engine,Low,3.1
Michael Morris,3173895332,Kia,Sonet,15,36870,11,aircon not cooling,Engine,Medium,6.0
Ralph Hughes,3133093022,Maruti,Baleno,9,102136,29,brakes making noise. Use machine property me.,Engine,Medium,7.6
Thomas Garcia,371-862-6922x8747,BMW,5-Series,7,28063,11,engine oil leak,Oil Change,Low,0.9
Felicia Davis,402.890.4901,Honda,City,9,74481,31,engine oil leak. Rich around clearly happy.,Oil Change,Medium,2.2
Michael Davies,001-524-612-7656x50529,Toyota,Camry,13,80053,23,car not starting intermittently. Under available call station task.,General Check,High,2.4
Ryan Jenkins,529-657-6971,Hyundai,Creta,5,22765,33,vibration while accelerating. Have ahead development government behind name never item.,Engine,High,3.4
Erin Johnson,599-513-4297,Hyundai,Creta,9,70229,16,vibration while accelerating. Common address want explain.,Engine,High,6.4
Kathleen Mcdonald,585.468.8643x13018,Kia,Sonet,7,91404,33,vibration while accelerating. Step long question next song.,Electrical,High,2.3
Anthony Patel,001-924-522-9437x395,Hyundai,i20,10,47133,14,tyre puncture frequently,Engine,Low,5.7
Peter Wilson,913-985-3148x52434,Maruti,Swift,13,12870,24,battery dies quickly. Cold themselves must plant simply resource.,General Check,High,1.8
Sean Owens,+1-480-497-4792x008,Maruti,Baleno,0,1319,20,car not starting intermittently,General Check,High,1.5
Randall Thomas,6868726881,Honda,City,10,35025,20,brakes making noise,Engine,Low,5.0
Melissa Olson,427.447.9786,Toyota,Camry,9,20185,6,squealing noise from belt. Wear theory summer.,General Check,Low,1.1
Lori Dorsey,433.452.1898,Mahindra,Thar,13,21173,23,vibration while accelerating. Training wait born country care but guy.,Engine,High,8.9
Justin Becker MD,001-742-467-9105x125,Hyundai,Creta,2,27591,10,car not starting intermittently. Letter I stuff notice bit participant community.,AC,High,6.2
Kara Brock,+1-289-513-6105x4884,Mahindra,Bolero,4,20549,18,brakes making noise,Brakes,Low,4.1
Richard Torres,+1-649-682-0928,Mahindra,Thar,4,74679,31,car not starting intermittently. However surface since positive audience answer.,General Check,High,1.7
Teresa Jackson DDS,001-249-466-5971x42524,Mahindra,Bolero,8,46288,18,brakes making noise. Always movement perform these.,Brakes,Low,3.0
Gabriel Ross,631.758.2132x9672,Honda,Civic,2,55735,2,squealing noise from belt. Resource authority decide ok response message.,Tire,Low,0.6
Kristen Thompson,835.520.1784,Toyota,Corolla,14,8602,21,battery dies quickly. Hit moment ten police.,Engine,High,6.1
Mark Hobbs,580.611.9025x2719,Maruti,Baleno,11,4960,5,brakes making noise. Give forward son seat join few.,General Check,Medium,1.9
Michael Webb,454-744-2445x3440,Hyundai,Creta,1,17794,30,aircon not cooling,AC,Medium,4.3
Katelyn Myers,001-331-357-5725x896,Mahindra,Bolero,3,19053,17,squealing noise from belt. Focus these peace bag.,Tire,Low,1.0
Zachary Henry,713.592.5029x320,Hyundai,i20,6,37746,36,tyre puncture frequently,Tire,Medium,0.5
John Lawrence,749.386.5296,Kia,Sonet,9,18135,18,engine oil leak. Hear season fish particularly door.,Oil Change,Low,1.9
Stephanie Miller,404.821.0860x294,BMW,5-Series,7,24325,3,brakes making noise. Learn exactly season if listen exist should.,Brakes,Low,5.3
Jennifer Young,9546100778,Honda,City,3,18831,8,tyre puncture frequently,Tire,Low,1.4
Alyssa Walker,867.695.3230x12035,BMW,3-Series,1,35488,16,brakes making noise,Brakes,Low,3.1
Connie Mccarthy,001-321-521-8268x3555,Mahindra,Thar,1,30527,4,brakes making noise. Right leader laugh service on.,Brakes,Low,4.4
John Reed,(602)602-3281x2110,Maruti,Baleno,13,42801,15,squealing noise from belt,General Check,Medium,1.8
Mark Young,(632)674-1235x9816,Toyota,Camry,14,28085,17,battery dies quickly. Weight common quickly free cell space.,Engine,High,6.6
Joy Hobbs,001-486-216-8048x617,Kia,Sonet,3,1000,0,strange smell from cabin. Decade institution within television.,Oil Change,Low,2.0
Angela Mendoza,(245)463-3412,Mahindra,Bolero,8,27030,17,tyre puncture frequently,Tire,Low,0.8
Elizabeth Jackson,793.883.8896,Maruti,Swift,4,35954,8,brakes making noise,Brakes,Low,5.7
Terri Hull,336.814.4436,Mahindra,Thar,10,70158,29,squealing noise from belt. Machine amount situation.,Engine,Medium,4.2
Linda Douglas,001-476-672-5322x275,BMW,5-Series,5,17527,36,squealing noise from belt. Move education go choice as include.,Brakes,Medium,5.0
Gregory Ortiz,+1-716-379-0677x1370,Kia,Seltos,6,20916,19,tyre puncture frequently,Tire,Low,1.0
Michele Ross,551-466-2646,Maruti,Swift,2,55570,0,strange smell from cabin. Chance degree fall expect modern.,AC,Low,4.2
Suzanne Ryan,882.455.8026x13748,Toyota,Corolla,15,23782,3,tyre puncture frequently. Final push knowledge.,Engine,Medium,8.0
Jesus Todd,(498)434-3301x608,Maruti,Swift,6,42917,3,aircon not cooling. Among policy become without age.,AC,Low,4.2
Tara Kelly,265-312-8449,Kia,Seltos,8,33399,29,car not starting intermittently. Agency least song chair energy here market.,General Check,High,1.7
Emily French,372.673.1358,BMW,5-Series,3,77585,23,tyre puncture frequently,Tire,Low,0.8
Robin Wells,527.837.1483x2141,Mahindra,Bolero,10,31338,0,brakes making noise. Purpose financial former price single improve.,General Check,Low,1.2
Amber Scott MD,(393)753-8637x601,Mahindra,Bolero,15,59169,7,car not starting intermittently. Story health know brother.,General Check,High,2.5
Edward Noble,2625834243,Hyundai,Creta,9,49390,17,strange smell from cabin. Debate debate movement stuff how machine him gas.,Engine,Low,5.7
Shelly Rodriguez,772-332-0852,Maruti,Swift,0,97352,26,brakes making noise,Brakes,Medium,4.4
Rachel Burns,354.711.0446,BMW,5-Series,6,1000,23,tyre puncture frequently. Assume mention soon begin.,Tire,Low,1.1
Richard Martinez,+1-817-389-0884x042,Mahindra,Thar,0,58802,2,battery dies quickly. Plant who result magazine.,Electrical,High,2.5
Kelly Acosta,719-514-0106,Mahindra,Thar,13,1000,29,brakes making noise. History soldier left activity mission party say.,Engine,Medium,6.0
Debra Rice,485-693-4092,Honda,Civic,13,11951,4,car not starting intermittently,Engine,High,4.9
Jorge Castillo,+1-857-521-2756,Honda,Civic,10,1000,21,engine oil leak. Daughter safe peace own work American.,Oil Change,Low,1.8
James Hernandez,404.351.3143x7722,Kia,Seltos,7,51539,30,strange smell from cabin,Engine,Medium,6.6
Jennifer Pierce,(890)631-0922x84826,Maruti,Baleno,1,24585,16,squealing noise from belt,AC,Low,4.2
Scott Marsh,(383)955-4173,Honda,Civic,13,55002,31,tyre puncture frequently. Design join stand feel argue leg talk.,Engine,Medium,4.6
Tyrone Hensley,(701)770-5167,Maruti,Swift,3,58850,0,vibration while accelerating. Eat television create.,Tire,High,0.6
Sally Jones,927-261-7174x105,Toyota,Camry,2,42578,31,strange smell from cabin. Fill ability color method sense center.,Oil Change,Medium,1.2
Frederick Zimmerman,465-695-1570x8319,Toyota,Camry,4,39684,10,car not starting intermittently,Oil Change,High,1.9
Emily Horne,001-659-260-9511,Hyundai,i20,13,73487,26,strange smell from cabin. Onto the under.,Engine,Medium,5.7
Joseph Ibarra,+1-613-318-7194,BMW,3-Series,9,17510,25,car not starting intermittently,Engine,High,7.8
Matthew Carney,+1-323-381-5791x09607,Honda,City,9,80469,18,aircon not cooling. Dog high check money.,Engine,Low,4.5
Scott Ross,909-920-5082x5301,Toyota,Corolla,7,57289,17,tyre puncture frequently,Tire,Low,1.4
Megan Martinez,419.514.4560x3602,Mahindra,Bolero,10,25573,11,battery dies quickly,Engine,High,6.8
Bradley Collins,280.327.9783x317,Maruti,Swift,0,52497,23,battery dies quickly,Electrical,High,2.0
Brianna Dawson,(401)788-9241,Mahindra,Thar,9,9971,0,aircon not cooling. Fact budget be customer toward whose.,Engine,Low,5.7
Tracy Patterson,+1-568-351-1623x33977,Honda,Civic,2,52896,23,battery dies quickly,Electrical,High,1.6
Keith Jacobs,(948)453-5968x3402,Kia,Seltos,10,44148,35,aircon not cooling,Engine,Medium,7.7
Laura Craig,601-298-4062x1718,Hyundai,i20,12,36270,8,brakes making noise. Reduce seem must little street than.,General Check,Medium,2.4
Paul Franco,687-944-6144,Toyota,Corolla,13,54956,16,car not starting intermittently. Now mind hotel doctor.,Engine,High,4.6
Kevin Haynes,352-592-7170,Kia,Sonet,11,33998,10,aircon not cooling,Engine,Medium,6.7
Brendan Murphy,001-703-480-1688x791,Mahindra,Bolero,0,32877,22,tyre puncture frequently. Read cell street discuss.,Tire,Low,1.1
Christian Adams,(470)815-8852x1660,BMW,3-Series,15,29691,33,tyre puncture frequently. Face group effort education.,Engine,Medium,11.4
Kaitlin Wilkins,+1-632-266-6247x185,BMW,5-Series,9,50563,20,battery dies quickly,General Check,High,2.6
Jacob Chandler,9295346204,BMW,5-Series,9,17642,0,aircon not cooling. Worry young girl letter region side.,General Check,Low,2.3
Anthony Strickland,986.516.9008x366,Mahindra,Bolero,0,85192,13,aircon not cooling. But investment experience box large enter lay.,AC,Low,5.8
Brian Myers,(465)431-9206x353,BMW,5-Series,0,7741,8,brakes making noise,Brakes,Low,0.5
Brittany Guerrero,(934)223-3545,Kia,Seltos,3,23578,30,vibration while accelerating. Term skill news customer city myself.,Tire,High,1.6
Virginia Nelson,(492)305-7409,Honda,City,8,50556,27,battery dies quickly,Electrical,High,2.4
Sean Hernandez,705.822.8759x8720,Hyundai,Creta,12,69631,18,battery dies quickly,Engine,High,2.6
Brittney Meyers,001-626-865-4221,BMW,3-Series,0,39163,9,battery dies quickly,Electrical,High,3.4
James Mack,827.987.8377x6072,Mahindra,Thar,15,57560,15,squealing noise from belt. Data energy trial always important old.,General Check,Medium,2.0
Alison Kirk,+1-778-567-0479,Kia,Seltos,15,1000,24,battery dies quickly,Engine,High,8.2
Erik Peterson,001-347-651-5290,BMW,5-Series,10,40946,10,strange smell from cabin. Value decade since.,General Check,Low,1.7
Hannah Bailey,+1-220-610-1190x10601,Maruti,Swift,4,31573,36,car not starting intermittently. Capital later decision member.,Electrical,High,2.9
Hayden George,399.923.0691x7968,Kia,Seltos,14,28697,12,aircon not cooling,Engine,Medium,4.2
Carlos Delacruz,(376)682-9543x8534,Mahindra,Thar,7,57121,5,aircon not cooling. Under camera education eye thus.,AC,Low,3.4
Jasmine Taylor,+1-853-859-1831x961,Maruti,Swift,0,1000,29,aircon not cooling,AC,Medium,3.5
